timestamps,csi_len,channel,err_info,noise_floor,rate,bandWidth,num_tones,nr,nc,rssi,rssi1,rssi2,rssi3,payload_length,block_length,subcarriers,ant1_amplitude,ant2_amplitude,ant1_phase,ant2_phase
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,16,300.241569407036,342.80315051061,1.42371797140649,0.677929997471759
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,17,302.925733472744,341.234523458574,1.43170038531283,0.704494064242218
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,18,313.561796142323,349.161853586557,1.44288122070669,0.700238770777742
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,19,314.097118738775,349.28498393146,1.43025001427785,0.696204550805715
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,20,308.561177078388,346.469334862409,1.47016024474421,0.722088201504995
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,21,323.010835731559,354.369863278468,1.43415316430381,0.717502684234387
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,22,325.129205086224,351.752754075928,1.43194406486938,0.708934628577965
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,23,328.09297462762,359.922213818486,1.45778300092658,0.722489157362323
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,24,330.081808041582,357.502447544069,1.43404061506399,0.706199092427997
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,25,329.655881185214,366.073763058758,1.47052399191404,0.704181856946711
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,26,341.591861729755,360.767237980391,1.447530656436,0.716743953103826
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,27,340.477605724664,362.6086044208,1.45008430338201,0.701447215086778
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,28,327.879551054957,354.572982614299,1.49753319305566,0.709543983708522
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,29,327.110073216952,361.203543725695,1.43279030313738,0.647930758668775
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,30,324.138859132934,350.463978177501,1.43151706725805,0.682316554874748
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,31,309.996774176765,338.45679192476,1.431636491632,0.66182057216648
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,32,310.280518241155,348.803669705466,1.42525298023747,0.638913985003887
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,33,295.601082541996,329.400971461834,1.41454619091691,0.641072455401954
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,34,284.971928442084,324.784543967228,1.38372386891614,0.594834264983962
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,35,273.791891771835,312.385979198811,1.38342908405355,0.564028512083777
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,36,255.738147330429,298.283422268151,1.37800196146799,0.558243949331514
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,37,243.386523866873,297.430664189152,1.38065285576135,0.478684069659667
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,38,233.63432966925,298.439273554939,1.35073462416133,0.432173747959552
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,39,220.707951827749,280.401497856199,1.32361986500893,0.383817623288569
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,40,201.816748561659,249.064248739156,1.27411888681902,0.361120290006854
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,41,186.335718529755,231.896528650172,1.22019130417607,0.261713502401205
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,42,170.66048165876,211.419015228054,1.19899484405883,0.204816573896506
1724851803123,280,2437,0,0,135,0,56,2,1,58,58,48,128,1320,1624,43,141.155942134931,183.207532596234,1.17055566976092,0.114876605416899
